subject_name,class_level_name,topic_title,question_text,question_type,correct_answer,explanation,difficulty,points,time_limit,choice_a,choice_b,choice_c,choice_d
Mathematics,Basic 9,Number Systems,Express 0.125 as a fraction in its simplest form.,multiple_choice,c,0.125 = 125/1000. Dividing both numerator and denominator by 125 gives 1/8.,medium,10,60,1/4,1/6,1/8,1/10
Mathematics,Basic 9,Number Systems,What is the value of 2³ × 3²?,multiple_choice,b,2³ = 8 and 3² = 9. Therefore 8 × 9 = 72.,medium,10,60,64,72,81,96
Mathematics,Basic 9,Number Systems,Find the HCF of 48 and 72.,multiple_choice,c,Prime factorization: 48 = 2⁴ × 3 and 72 = 2³ × 3². HCF = 2³ × 3 = 24.,medium,10,75,12,18,24,36
Mathematics,Basic 9,Number Systems,What is the LCM of 15 and 20?,multiple_choice,d,Prime factorization: 15 = 3 × 5 and 20 = 2² × 5. LCM = 2² × 3 × 5 = 60.,medium,10,75,30,45,50,60
Mathematics,Basic 9,Number Systems,Simplify: (-3) × (-4) × (-2),multiple_choice,a,(-3) × (-4) = 12. Then 12 × (-2) = -24.,medium,10,60,-24,-12,12,24
Mathematics,Basic 9,Number Systems,What is 25% of 80?,multiple_choice,b,25% = 25/100 = 1/4. So 1/4 × 80 = 20.,easy,10,45,15,20,25,30
Mathematics,Basic 9,Number Systems,Express 3/8 as a percentage.,multiple_choice,c,3/8 = 0.375 = 37.5%.,medium,10,60,35%,36%,37.5%,40%
Mathematics,Basic 9,Number Systems,If a number is increased by 20% and the result is 144 what was the original number?,multiple_choice,d,Let original number = x. Then x + 20% of x = 144. So 1.2x = 144. Therefore x = 120.,hard,15,90,100,110,115,120
Mathematics,Basic 9,Number Systems,What is the square root of 169?,multiple_choice,a,13² = 169 so √169 = 13.,easy,10,45,13,14,15,16
Mathematics,Basic 9,Number Systems,Which of these is an irrational number?,multiple_choice,b,√7 cannot be expressed as a fraction of two integers making it irrational.,medium,10,60,√9,√7,√16,√25
Mathematics,Basic 9,Algebra,Solve for x: 3x + 7 = 22,multiple_choice,c,3x = 22 - 7 = 15. Therefore x = 15/3 = 5.,medium,10,60,3,4,5,6
Mathematics,Basic 9,Algebra,Simplify: 2x + 3x - x,multiple_choice,b,2x + 3x - x = (2 + 3 - 1)x = 4x.,easy,10,45,3x,4x,5x,6x
Mathematics,Basic 9,Algebra,If y = 2x + 3 what is the value of y when x = 4?,multiple_choice,d,y = 2(4) + 3 = 8 + 3 = 11.,easy,10,45,8,9,10,11
Mathematics,Basic 9,Algebra,Solve: 2(x - 3) = 10,multiple_choice,c,2(x - 3) = 10. So x - 3 = 5. Therefore x = 8.,medium,10,60,6,7,8,9
Mathematics,Basic 9,Algebra,Factorize: x² - 9,multiple_choice,a,x² - 9 = x² - 3² = (x + 3)(x - 3) using difference of squares.,medium,10,75,(x + 3)(x - 3),(x + 9)(x - 1),(x + 1)(x - 9),x(x - 9)
Mathematics,Basic 9,Algebra,Expand: (x + 4)(x + 2),multiple_choice,b,Using FOIL: x² + 2x + 4x + 8 = x² + 6x + 8.,medium,10,75,x² + 4x + 8,x² + 6x + 8,x² + 8x + 6,x² + 2x + 4
Mathematics,Basic 9,Algebra,If 3x - 2 = 13 what is the value of x?,multiple_choice,c,3x = 13 + 2 = 15. Therefore x = 5.,medium,10,60,3,4,5,6
Mathematics,Basic 9,Algebra,Solve the inequality: 2x + 3 > 11,multiple_choice,d,2x > 11 - 3 = 8. Therefore x > 4.,medium,10,75,x > 2,x > 3,x > 3.5,x > 4
